slug,chainId,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,authenticationMethods,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,blocksBehindSla,bandwidthSla,supportSla,networkSupportBasis
alchemy-mainnet-free-full-archive,1088,,!offer:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/rpc/metis)"",""[Docs](https://www.alchemy.com/docs/reference/metis-api-quickstart)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
alchemy-mainnet-free-recent-state,1088,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/metis)"",""[Docs](https://www.alchemy.com/docs/reference/metis-api-quickstart)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-full-archive,1088,,!offer:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/metis-api-quickstart)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-recent-state,1088,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/metis-api-quickstart)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-free-full-archive,1088,,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/metis/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,1088,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/metis/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-full-archive,1088,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/metis/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,1088,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/metis/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
drpc-mainnet-free-full-archive,1088,,!offer:drpc-free-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
drpc-mainnet-pay-as-you-go-full-archive,1088,,!offer:drpc-pay-as-you-go-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
drpc-mainnet-public-full-archive,1088,,!offer:drpc-public-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-recent-state,1088,,!offer:getblock-advanced-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,1088,,!offer:getblock-dedicated-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,1088,,!offer:getblock-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-recent-state,1088,,!offer:getblock-pro-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-starter-recent-state,1088,,!offer:getblock-starter-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
nownodes-mainnet-business-recent-state,1088,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/metis)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated-recent-state,1088,,!offer:nownodes-dedicated-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/metis)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,1088,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/metis)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
nownodes-mainnet-free-recent-state,1088,,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/metis)"",""[Docs](https://nownodes.io/nodes/metis)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro-recent-state,1088,,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/metis)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
