slug,provider,offer,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment
thirdweb-enterprise,,!offer:thirdweb-enterprise,"[""[Website](https://thirdweb.com/cronos-zkevm)"",""[Docs](https://docs-zkevm.cronos.com/for-developers/developer-tools/thirdweb-app-development)""]",,,,,,,,,
thirdweb-growth,,!offer:thirdweb-growth,"[""[Website](https://thirdweb.com/cronos-zkevm)"",""[Docs](https://docs-zkevm.cronos.com/for-developers/developer-tools/thirdweb-app-development)""]",,,,,,,,,
thirdweb-pro,,!offer:thirdweb-pro,"[""[Website](https://thirdweb.com/cronos-zkevm)"",""[Docs](https://docs-zkevm.cronos.com/for-developers/developer-tools/thirdweb-app-development)""]",,,,,,,,,
thirdweb-scale,,!offer:thirdweb-scale,"[""[Website](https://thirdweb.com/cronos-zkevm)"",""[Docs](https://docs-zkevm.cronos.com/for-developers/developer-tools/thirdweb-app-development)""]",,,,,,,,,
thirdweb-starter,,!offer:thirdweb-starter,"[""[Website](https://thirdweb.com/cronos-zkevm)"",""[Docs](https://docs-zkevm.cronos.com/for-developers/developer-tools/thirdweb-app-development)""]",,,,,,,,,
