slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicSecurity,economicSecurityNote,sdk,price,auditsPerformed,tag,updateModels
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://lens.xyz/docs/chain/tools/oracles/chainlink)""]",mainnet,,,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,"[""[Docs](https://lens.xyz/docs/chain/tools/oracles/chainlink)""]",testnet,,,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Docs](https://lens.xyz/docs/chain/tools/oracles/redstone)""]",mainnet,,,,,,,,,,,,,,
redstone-testnet,,!offer:redstone,"[""[Docs](https://lens.xyz/docs/chain/tools/oracles/redstone)""]",testnet,,,,,,,,,,,,,,
