slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
api3-mainnet,!provider:api3,"[""[Docs](https://docs.api3.org/)""]",mainnet,Push & Pull Oracle,FALSE,"[""Price Feeds"",""QRNG"",""Airnode"",""dAPIs""]","[""Feed health dashboard""]","[""Quantum RNG""]","[""Asset Prices"",""Randomness""]",Decentralized,TRUE,First‑party dAPI model,"[""TypeScript"",""Solidity""]","[""OEV RFP Security Assessment (Compound/Commonwealth audit, Jun 2025)"",""Quantstamp audit of API3 Data Feed Proxy Combinators (2024)"",""Internal audit of Airnode and first‑party infrastructure (2023)""]"
band-mainnet,!provider:band,"[""[Docs](https://docs.bandchain.org/)""]",mainnet,Cross-chain Oracle,FALSE,"[""Oracle Scripts"",""IBC Feeds""]","[""Validator Performance""]","[""IBC compatibility"",""Flexible scripting""]","[""Token Prices"", ""ASTR"",""ATOM"",""AVAX"",""BNB"",""BUSD"",""DAI"",""DOT"",""ETH"",""FTM"",""MATIC"",""SOL"",""USDC"",""USDT"",""WBTC""]",Delegated Proof-of-Stake,TRUE,Cosmos-based staking model,"[""CosmJS"",""Solidity""]","[""CertiK""]"
chainlink-mainnet,!provider:chainlink,"[""[ETH/USD](https://data.chain.link/feeds/ethereum/mainnet/eth-usd)""]",mainnet,Decentralized Oracle,FALSE,"[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Economic Aggregation"",""Cross-chain support""]","[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]","[""Trail of Bits (Jul 2024)"",""OpenZeppelin (Sep 2024)"",""ChainSecurity (Mar 2024)"",""Code4rena (Nov 2024)"",""Quantstamp"",""SigmaPrime""]"
chronicle-mainnet,!provider:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD)""]",mainnet,Decentralized Oracle,FALSE,"[""Price Feeds""]","[""Reporter performance tools""]","[""Scalable reporter model"",""Forked from Maker oracle""]","[""Asset Prices""]",Decentralized,TRUE,Maker‑inspired model,"[""Solidity""]","[""ChainSecurity (Scribe audit, Aug 2023)"",""Cantina Reviews (Oracle infrastructure audit, Oct–Nov 2023)"",""ABDK (code review of core components, 2023)"",""Spearbit (security review of Scribe architecture, 2023)"",""Bug bounty program via Cantina (ongoing from Jun 2024)""]"
chronicle-sepolia,!provider:chronicle,"[""[SEP/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#testnet=true&txn=0x395d4ceb7506e27e2227417719ca5c21e1baa9e3f5521a20e411ccb25f70bed9&contract=0xdd6D76262Fd7BdDe428dcfCd94386EbAe0151603&blockchain=SEP)""]",sepolia,Decentralized Oracle,FALSE,"[""Price Feeds""]","[""Reporter performance tools""]","[""Scalable reporter model"",""Forked from Maker oracle""]","[""Asset Prices""]",Decentralized,TRUE,Maker‑inspired model,"[""Solidity""]","[""ChainSecurity (Scribe audit, Aug 2023)"",""Cantina Reviews (Oracle infrastructure audit, Oct–Nov 2023)"",""ABDK (code review of core components, 2023)"",""Spearbit (security review of Scribe architecture, 2023)"",""Bug bounty program via Cantina (ongoing from Jun 2024)""]"
pyth-mainnet,!provider:pyth,"[""[ETH/USD](https://insights.pyth.network/price-feeds/Crypto.ETH%2FUSD)""]",mainnet,Pull Oracle,FALSE,"[""Asset Price Feeds (incl. ARB/USD)""]","[""Real time price feeds""]","[""Cross‑chain via Wormhole""]","[""Asset Prices"",""FX"",""Metals""]",Decentralized,TRUE,Data from top-tier liquidity providers audited,"[""Solidity"",""Python SDK""]","[""Trail of Bits (2023)"",""Certik (2022)""]"
redstone-mainnet,!provider:redstone,"[""[Docs](https://docs.redstone.finance/)""]",mainnet,Modular Oracle,FALSE,"[""Price Feeds"",""Custom Data""]","[""Custom Delivery Monitoring""]","[""Data Packaging"",""Gas-efficient delivery"",""Smart contract plugins""]","[""Token Prices"", ""Custom External Data""]",Hybrid,TRUE,"Slashing, incentives through data availability and reputation","[""JavaScript"",""Solidity""]","[""Trail of Bits"",""Audit by PeckShield, 2023""]"
uma-mainnet,!provider:uma,"[""[Docs](https://docs.uma.xyz/)""]",mainnet,Optimistic Oracle,FALSE,"[""OO API"",""Assertion API""]","[""Vote Challenges""]","[""Dispute resolution"",""Broad data support""]","[""Anything verifiable on-chain""]",Optimistic + Governance,TRUE,Bonding and dispute mechanism,"[""JavaScript"",""Solidity""]","[""OpenZeppelin"",""Sherlock""]"
witnet-mainnet,!provider:witnet,"[""[Docs](https://docs.witnet.io/)""]",mainnet,Independent Oracle Network,FALSE,"[""Witnet Bridge""]","[""Data verification trace""]","[""Built-in randomness"",""Bridge to EVM""]","[""Token Prices"", ""APIs"", ""Feeds""]",Proof-of-Work,TRUE,Economic incentives and mining,"[""JavaScript"",""Solidity""]","[""None Public""]"
