slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
dapp-pocket,!provider:dapp-pocket,"[""[Website](https://www.dapppocket.io/)""]",FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
ronin-wallet,!provider:ronin-wallet,"[""[Website](https://wallet.roninchain.com/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,
bitcoin-com-wallet,!provider:bitcoin-com-wallet,"[""[Website](https://wallet.bitcoin.com/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,
haha-wallet,!provider:haha-wallet,"[""[Website](https://www.haha.me/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
kryptogo-wallet,!provider:kryptogo-wallet,"[""[Website](https://kryptogo.com/)""]",FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
sender,!provider:sender,"[""[Website](https://senderwallet.io/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
kuma-wallet,!provider:kuma-wallet,"[""[Website](https://kumawallet.io/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
ultimate,!provider:ultimate,"[""[Website](https://ultimate.app/)""]",FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
gem-wallet,!provider:gem-wallet,"[""[Website](https://gemwallet.com/)""]",TRUE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
holdstation,!provider:holdstation,"[""[Website](https://holdstation.com/)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,
