slug,provider,chain,technology,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,txSpeedSla,throughputSla,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons
hyperlane-mainnet,!provider:hyperlane,mainnet,,,,FALSE,,,,,,,,,,,,,,
superbridge-mainnet,!provider:superbridge,mainnet,,,,FALSE,,,,,,,,,,,,,,
arbitrum-one-mainnet,!provider:arbitrum-native,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://bridge.arbitrum.io/"",""type"":""external""}]"
arbitrum-one-sepolia,!provider:arbitrum-native,sepolia,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://bridge.arbitrum.io/"",""type"":""external""}]"
starkgate-mainnet,!provider:starkware,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://starkgate.starknet.io/"",""type"":""external""}]"
stargate-mainnet,!provider:stargate,mainnet,,,,FALSE,,,,,,,,,,,,,,
synapse-mainnet,!provider:synapse,mainnet,,,,FALSE,,,,,,,,,,,,,,
hop-mainnet,!provider:hop,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.hop.exchange/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.hop.exchange/developer-docs/"",""type"":""external""}]"
wormhole-mainnet,!provider:wormhole,mainnet,,,,FALSE,,,,,,,,,,,,,,
router-mainnet,!provider:routerprotocol,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://routernitro.com/swap"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.routerprotocol.com/"",""type"":""external""}]"
debridge-mainnet,!provider:debridge,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.debridge.finance/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.debridge.finance/"",""type"":""external""}]"
allbridge-core-mainnet,!provider:allbridge-core,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://core.allbridge.io/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs-core.allbridge.io/"",""type"":""external""}]"
rhinofi-mainnet,!provider:rhinofi,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.rhino.fi/bridge"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.rhino.fi/get-started/introduction"",""type"":""external""}]"
layerswap-mainnet,!provider:layerswap,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://layerswap.io/app"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.layerswap.io"",""type"":""external""}]"
across-mainnet,!provider:across,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.across.to/bridge"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.across.to/"",""type"":""external""}]"
mayan-mainnet,!provider:mayan,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://swap.mayan.finance/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.mayan.finance"",""type"":""external""}]"
orbiter-mainnet,!provider:orbiter,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://orbiter.finance"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.orbiter.finance"",""type"":""external""}]"
meson-mainnet,!provider:meson,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://meson.fi/"",""type"":""external""},{""label"":""Docs"",""url"":""https://meson.fi/docs"",""type"":""external""}]"
squid-mainnet,!provider:squid,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.squidrouter.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.squidrouter.com"",""type"":""external""}]"
hashport-mainnet,!provider:hashport,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.hashport.network/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.hashport.network/"",""type"":""external""}]"
interport-mainnet,!provider:interport,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.interport.fi"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.interport.fi"",""type"":""external""}]"
pheasant-mainnet,!provider:pheasant,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://pheasant.network"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.pheasant.network/"",""type"":""external""}]"
owlto-mainnet,!provider:owlto,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://owlto.finance"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.owlto.finance"",""type"":""external""}]"
rubic-mainnet,!provider:rubic,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://rubic.exchange"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.rubic.finance/"",""type"":""external""}]"
altitude-mainnet,!provider:altitude,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://www.altitudedefi.com/transfer"",""type"":""external""},{""label"":""Docs"",""url"":""https://altitude-1.gitbook.io/altitude/"",""type"":""external""}]"
wanchain-bridge-mainnet,!provider:wanchain-bridge,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://bridge.wanchain.org/AssetBridge"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.wanchain.org/"",""type"":""external""}]"
chainspot-mainnet,!provider:chainspot,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.chainspot.io/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.chainspot.io/"",""type"":""external""}]"
jumper-mainnet,!provider:jumper,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://jumper.exchange/"",""type"":""external""},{""label"":""Docs"",""url"":""https://jumper.exchange/learn"",""type"":""external""}]"
safeswap-mainnet,!provider:safeswap,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.safeswap.io/"",""type"":""external""}]"
polyhedra-sepolia,!provider:polyhedra,sepolia,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://expchain.polyhedra.network/bridge"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.polyhedra.network/expchain/bridge"",""type"":""external""}]"
okutrade-mainnet,!provider:okutrade,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://oku.trade"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.oku.trade/home/"",""type"":""external""}]"
umbria-mainnet,!provider:umbria,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://bridge.umbria.network/bridge/"",""type"":""external""},{""label"":""Docs"",""url"":""https://bridge.umbria.network/docs/"",""type"":""external""}]"
swoop-mainnet,!provider:swoop,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.swoop.exchange/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.swoop.exchange/"",""type"":""external""}]"
retrobridge-mainnet,!provider:retro,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.retrobridge.io/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.retrobridge.io/"",""type"":""external""}]"
xy-finance-mainnet,!provider:xyfinance,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.xy.finance/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.xy.finance"",""type"":""external""}]"
symbiosis-mainnet,!provider:symbiosis,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.symbiosis.finance/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.symbiosis.finance/"",""type"":""external""}]"
smolrefuel-mainnet,!provider:smolrefuel,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://smolrefuel.com"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.smolrefuel.com"",""type"":""external""}]"
garden-mainnet,!provider:garden,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.garden.finance"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.garden.finance/"",""type"":""external""}]"
valuerouter-mainnet,!provider:valuerouter,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.valuerouter.com"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.valuerouter.com/"",""type"":""external""}]"
crosscurve-mainnet,!provider:crosscurve,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.crosscurve.fi/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.crosscurve.fi"",""type"":""external""}]"
chainport-mainnet,!provider:chainport,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://app.chainport.io/"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.chainport.io/"",""type"":""external""}]"
messina-one-mainnet,!provider:messina,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://messina.one/bridge"",""type"":""external""},{""label"":""Docs"",""url"":""https://messinaone.gitbook.io/messina/"",""type"":""external""}]"
alldomains-bridge-mainnet,!provider:alldomains-bridge,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://bridge.alldomains.id"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.alldomains.id/protocol"",""type"":""external""}]"
celer-cbridge-mainnet,!provider:celer,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://cbridge.celer.network"",""type"":""external""},{""label"":""Docs"",""url"":""https://cbridge-docs.celer.network/"",""type"":""external""}]"
enosys-bridge-mainnet,!provider:enosys-bridge,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Bridge"",""url"":""https://bridge.enosys.global"",""type"":""external""}]"
xy-finance,!provider:xyfinance,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://xy.finance"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.xy.finance"",""type"":""external""}]"
symbiosis,!provider:symbiosis,mainnet,,,,FALSE,,,,,,,,,,,,,,"[{""label"":""Site"",""url"":""https://symbiosis.finance"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.symbiosis.finance/"",""type"":""external""}]"
