slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
cryptoquant-mainnet,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/eth)""]",mainnet,"[""Exchange Reserves"",""Network Transactions"",""Derivatives Data"",""Staking Data"",""Market Price/Volume""]",TRUE,"[""REST API""]","$0/$39/$109/mo (monthly plan), $0/$29/$99/$799/mo (yearly plan)",,Tiered,FALSE
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/ethereum)""]",mainnet,"[""DeFi TVL"",""DEX & Perps Volume"",""Bridged Assets"",""Active Addresses"",""Stablecoin Supply""]",TRUE,"[""REST API""]","$0/$49/$300/mo (monthly plan), $0 (2 months free)/$40.83/mo ($490/year)/$250/mo (3K/year) (yearly plan)",,Tiered,FALSE
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/hildobby/ethereum)""]",mainnet,"[""Transactions"",""Gas Usage"",""Bridge Activity"",""Active Users"",""Token Transfers"",""Smart Contract Activity""]",TRUE,"[""SQL Queries"",""Visualizations""]","$0/$75/$399/mo (monthly plan), $0/$65/$349/mo (yearly plan)",,Tiered,FALSE
dune-sepolia,!provider:dune,"[""[Dashboard](https://dune.com/obchakevich/sepolia)""]",sepolia,"[""Transactions"",""Gas Usage"",""Bridge Activity"",""Active Users"",""Token Transfers"",""Smart Contract Activity""]",TRUE,"[""SQL Queries"",""Visualizations""]","$0/$75/$399/mo (monthly plan), $0/$65/$349/mo (yearly plan)",,Tiered,FALSE
glassnode-mainnet,!provider:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ETH)""]",mainnet,"[""Address Metrics"",""Supply Dynamics"",""Exchange Reserves"",""Fee Revenue"",""Holder Metrics""]",TRUE,"[""REST API""]","$0/$99/$999/mo (monthly plan), $0/$49/$999/mo (yearly plan)",,Tiered,FALSE
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/ethereum)""]",mainnet,"[""Network Metrics"",""TVL & Market Data"",""On‑chain Usage Metrics""]",TRUE,"[""Research Reports"",""API Access"",""Dashboard""]",$0/$4000/year,,Tiered,FALSE
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=ethereum)""]",mainnet,"[""Exchange Flows"",""Token Distribution"",""DeFi Activity"",""NFT Analytics"",""Wallet Labels""]",TRUE,"[""Smart Money API"",""Profiler API"",""API Keys""]","$0/$69/mo (monthly plan), $0/$49/mo (yearly plan)",,Tiered,FALSE
