slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
beaconchain-mainnet,!provider:beaconchain,"[""[Explore](https://beaconcha.in/)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Gas Tracker"",""Stats"",""Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
blockchair-mainnet,!provider:blockchair,"[""[Explore](https://blockchair.com/ethereum)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Multi-Chain Search"",""PDF Reports""]",FALSE,"[""REST API""]","[""Python"",""Node.js""]","[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
blockscout-mainnet,!provider:blockscout,"[""[Explore](https://eth.blockscout.com)""]",mainnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free
blockscout-sepolia,!provider:blockscout,"[""[Explore](https://eth-sepolia.blockscout.com)""]",sepolia,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free
etherscan-hoodi,!provider:etherscan,"[""[Explore](https://hoodi.etherscan.io)""]",hoodi,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,Free
etherscan-mainnet,!provider:etherscan,"[""[Explore](https://etherscan.io)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,Free
etherscan-sepolia,!provider:etherscan,"[""[Explore](https://sepolia.etherscan.io)""]",sepolia,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,Free
ethplorer-mainnet,!provider:ethplorer,"[""[Explore](https://ethplorer.io)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Pulse"",""Portfolio Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
ethvm-mainnet,!provider:ethvm,"[""[Explore](https://www.ethvm.com/)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Portfolio Charts"",""Internal TX Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
tokenview-mainnet,!provider:tokenview,"[""[Explore](https://eth.tokenview.io)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token/NFT Explorer"",""RPC Service""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
