slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
circle-faucet-usdc,,!offer:circle-faucet-usdc,"[""[Faucet](https://faucet.circle.com/)""]",sepolia,,,,,,,,,
quicknode-faucet,,!offer:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/unichain/sepolia)""]",sepolia,,,,,,,,,
thirdweb-faucet,,!offer:thirdweb-faucet,"[""[Faucet](https://thirdweb.com/unichain-sepolia-testnet)""]",sepolia,,,,,,,,,
