slug,provider,offer,actionButtons,platformType,tradingTypes,kycRequired,feeStructure,starred
1inch-aggregation,,!offer:1inch-aggregation,,,,,,
rango-swap-aggregation,,!offer:rango-swap-aggregation,,,,,,
