slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicSecurity,economicSecurityNote,sdk,price,auditsPerformed,tag,updateModels,networkSupportBasis
acurast-mainnet,,!offer:acurast,,mainnet,,,,,,,,,,,,,,,
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/bob)""]",mainnet,,,,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/bob-build-on-bitcoin)""]",mainnet,,,,,,,,,,,,,,,
