slug,provider,offer,actionButtons,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
alchemy-faucet,,!offer:alchemy-faucet,,,,,,,,,,,,,,,,,,,,
algorand-dispenser-algo,,!offer:algorand-dispenser-algo,,,,,,,,,,,,,,,,,,,,
algorand-dispenser-usdc,,!offer:algorand-dispenser-usdc,,,,,,,,,,,,,,,,,,,,
astar-faucet,,!offer:astar-faucet,,,,,,,,,,,,,,,,,,,,
automata-faucet,,!offer:automata-faucet,,,,,,,,,,,,,,,,,,,,
chainlink-faucet,,!offer:chainlink-faucet,,,,,,,,,,,,,,,,,,,,
chainlink-faucet-link,,!offer:chainlink-faucet-link,,,,,,,,,,,,,,,,,,,,
chainstack-faucet,,!offer:chainstack-faucet,,,,,,,,,,,,,,,,,,,,
circle-faucet-eurc,,!offer:circle-faucet-eurc,,,,,,,,,,,,,,,,,,,,
circle-faucet-usdc,,!offer:circle-faucet-usdc,,,,,,,,,,,,,,,,,,,,
core-faucet,,!offer:core-faucet,,,,,,,,,,,,,,,,,,,,
ethglobal-faucet,,!offer:ethglobal-faucet,,,,,,,,,,,,,,,,,,,,
getblock-faucet,,!offer:getblock-faucet,,,,,,,,,,,,,,,,,,,,
ghost-faucet,,!offer:ghost-faucet,,,,,,,,,,,,,,,,,,,,
google-cloud-faucet,,!offer:google-cloud-faucet,,,,,,,,,,,,,,,,,,,,
infura-faucet,,!offer:infura-faucet,,,,,,,,,,,,,,,,,,,,
learnweb3-faucet,,!offer:learnweb3-faucet,,,,,,,,,,,,,,,,,,,,
nebulum-faucet,,!offer:nebulum-faucet,,,,,,,,,,,,,,,,,,,,
optimism-superchain-faucet,,!offer:optimism-superchain-faucet,,,,,,,,,,,,,,,,,,,,
pk910-faucet,,!offer:pk910-faucet,,,,,,,,,,,,,,,,,,,,
plume-faucet,,!offer:plume-faucet,,,,,,,,,,,,,,,,,,,,
quicknode-faucet,,!offer:quicknode-faucet,,,,,,,,,,,,,,,,,,,,
rockx-faucet,,!offer:rockx-faucet,,,,,,,,,,,,,,,,,,,,
ronin-faucet,,!offer:ronin-faucet,,,,,,,,,,,,,,,,,,,,
somnia-faucet,,!offer:somnia-faucet,,,,,,,,,,,,,,,,,,,,
stakely-faucet,,!offer:stakely-faucet,,,,,,,,,,,,,,,,,,,,
starknet-foundation-faucet,,!offer:starknet-foundation-faucet,,,,,,,,,,,,,,,,,,,,
tatum-faucet,,!offer:tatum-faucet,,,,,,,,,,,,,,,,,,,,
thirdweb-faucet,,!offer:thirdweb-faucet,,,,,,,,,,,,,,,,,,,,
tron-nile-faucet,,!offer:tron-nile-faucet,,,,,,,,,,,,,,,,,,,,
tron-shasta-faucet,,!offer:tron-shasta-faucet,,,,,,,,,,,,,,,,,,,,
