slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
berascan-mainnet,,!offer:berascan,,mainnet,,,,,,,,,,,
berascan-testnet,,!offer:berascan,"[""[Explore](https://testnet.berascan.com/)"",""[Docs](https://docs.berachain.com/general/introduction/connect-to-berachain)""]",testnet,,,,,,,,,,,
