slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/)""]",mainnet,,,,,,,,,
