slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
acurast-mainnet,,!offer:acurast,"[""[Docs](https://docs.polkadot.com/parachains/integrations/oracles/)""]",mainnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://docs.polkadot.com/parachains/integrations/oracles/)"",""[DOT/USD](https://www.diadata.org/app/oracle-playground/DOT)""]",mainnet,,,,,,,,,,,,
