slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
paseo-testnet-faucet,,!offer:polkadot-testnet-faucet,"[""[Faucet](https://faucet.polkadot.io/)""]",paseo,,,,,5000 PAS,24h,,,
westend-testnet-faucet,,!offer:polkadot-testnet-faucet,"[""[Faucet](https://faucet.polkadot.io/westend)""]",westend,,,,,10 WND,24h,,,
