slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
banxa,,!offer:banxa,"[""[Buy](https://www.banxa.com/coins/buy-polkadot-united-states)""]",,,,,,,
guardarian,,!offer:guardarian,"[""[Buy](https://guardarian.com/blog/how-to-buy-dot)""]",,,,,,,
moonpay,,!offer:moonpay,"[""[Buy](https://www.moonpay.com/en-gb/buy/dot)""]",,,,,,,
ramp-network,,!offer:ramp-network,"[""[Buy](https://ramp.network/buy)""]",,,,,,,
transak,,!offer:transak,"[""[Buy](https://transak.com/buy/dot/united-states-of-america)""]",,,,,,,
