slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
pyth-mainnet,,!offer:pyth,"[""[Manta Docs](https://docs.manta.network/docs/manta-pacific/Tools/Oracles#pyth)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Manta Docs](https://docs.manta.network/docs/manta-pacific/Tools/Oracles#redstone)""]",mainnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Manta Docs](https://docs.manta.network/docs/manta-pacific/Tools/Oracles#supra)""]",mainnet,,,,,,,,,,,,
