slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
pharosscan-mainnet,,!offer:pharosscan,"[""[Docs](https://docs.pharos.xyz/getting-started/network/pacific-mainnet)""]",mainnet,,,,,,,,,,,
pharosscan-testnet,,!offer:pharosscan,"[""[Docs](https://docs.pharos.xyz/getting-started/network/atlantic-testnet)""]",testnet,,,,,,,,,,,
