slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
ethers-js,,!offer:ethers-js,"[""[Docs](https://docs.pharos.xyz/developer-guide/foundry)""]",,,,,,,,,,,,,,
foundry,,!offer:foundry,"[""[Docs](https://docs.pharos.xyz/developer-guide/foundry)""]",,,,,,,,,,,,,,
hardhat,,!offer:hardhat,"[""[Docs](https://docs.pharos.xyz/developer-guide/hardhat)""]",,,,,,,,,,,,,,
web3-js,,!offer:web3-js,"[""[Docs](https://docs.pharos.xyz/developer-guide/hardhat)""]",,,,,,,,,,,,,,
web3-py,,!offer:web3-py,"[""[Docs](https://docs.pharos.xyz/developer-guide/hardhat)""]",,,,,,,,,,,,,,
