slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
chainlink-ccip-mainnet,,!offer:chainlink-bridge,"[""[Docs](https://docs.pharos.xyz/tooling-and-infrastructure/cross-chain/chainlink-ccip)""]",mainnet,,,,,,,,,,,,,,,,,,
circle-cctp-mainnet,,!offer:circle-cctp,"[""[Docs](https://docs.pharos.xyz/tooling-and-infrastructure/cross-chain/circle-cctp)""]",mainnet,,,,,,,,,,,,,,,,,,
circle-cctp-testnet,,!offer:circle-cctp,"[""[Docs](https://docs.pharos.xyz/tooling-and-infrastructure/cross-chain/circle-cctp)""]",testnet,,,,,,,,,,,,,,,,,,
layerzero-mainnet,,!offer:layerzero,"[""[Docs](https://docs.pharos.xyz/tooling-and-infrastructure/cross-chain/layerzero)""]",mainnet,,,,,,,,,,,,,,,,,,
