slug,provider,offer,actionButtons,chain,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
binance-web3-wallet,,!offer:binance-wallet,,mainnet,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,mainnet,,,,,,,,,,,,,,,,,,
mathwallet,,!offer:math-wallet,,mainnet,,,,,,,,,,,,,,,,,,
metamask,,!offer:metamask,,mainnet,,,,,,,,,,,,,,,,,,
okx-wallet,,!offer:okxwallet,,mainnet,,,,,,,,,,,,,,,,,,
safe-gnosis,,!offer:safe-gnosis,,mainnet,,,,,,,,,,,,,,,,,,
sequence,,!offer:sequence,,mainnet,,,,,,,,,,,,,,,,,,
trust-wallet,,!offer:trustwallet,,mainnet,,,,,,,,,,,,,,,,,,
