slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,uptimeSla,bandwidthSla,blocksBehindSla,supportSla
chain-love-astar-free,!provider:chainlove-free,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Deploy"",""url"":""https://astar.chain.love/graph"",""type"":""external""}]",,,
chain-love-shibuya-free,!provider:chainlove-free,shibuya,,,,,,,,,,,,,,,,,,"[{""label"":""Deploy"",""url"":""https://astar.chain.love/graph"",""type"":""external""}]",,,
chain-love-shiden-free,!provider:chainlove-free,shiden,,,,,,,,,,,,,,,,,,"[{""label"":""Deploy"",""url"":""https://astar.chain.love/graph"",""type"":""external""}]",,,
goldsky-astar-free,!provider:goldsky-free,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Deploy"",""url"":""https://app.goldsky.com/"",""type"":""external""}]",,,
goldsky-astar-pro,!provider:goldsky-pay-as-you-go,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://app.goldsky.com/"",""type"":""external""}]",,,
goldsky-astar-enterprise,!provider:goldsky-enterprise,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://app.goldsky.com/"",""type"":""external""}]",,,
sqd-astar-free,!provider:sqd-free,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Deploy"",""url"":""https://www.sqd.ai/"",""type"":""external""}]",,,
sqd-astar-pay-as-you-go,!provider:sqd-pay-as-you-go,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://www.sqd.ai/"",""type"":""external""}]",,,
subquery-astar-free,!provider:subquery-free,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Deploy"",""url"":""https://app.subquery.network/"",""type"":""external""}]",,,
subquery-astar-pay-as-you-go,!provider:subquery-pay-as-you-go,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://app.subquery.network/"",""type"":""external""}]",,,
subquery-astar-enterprise,!provider:subquery-enterprise,astar,,,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://app.subquery.network/"",""type"":""external""}]",,,
