slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedUptimeBlocksAvg,actionButtons
onfinality-shiden-enterprise,OnFinality,Enterprise,Full Archive,shiden,Custom,Custom,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://onfinality.io/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-shiden-dedicated,OnFinality,Dedicated,Recent-State,shiden,from $180,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-shiden-dedicated-archive,OnFinality,Dedicated,Full Archive,shiden,from $360,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-shiden-dedicated-collator,OnFinality,Dedicated,Collator,shiden,from $480,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,NULL,,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
radiumblock-astar-free,RadiumBlock,Free,Recent-State,astar,$0,$0,100%,Null,Null,FALSE,FALSE,[],"[""rate limiting applies""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://astar.public.curie.radiumblock.co/http"", ""type"":""external""}]"
radiumblock-astar-dedicated,RadiumBlock,Dedicated,Full Archive,astar,$375/$725/$990+,$0,100%,Null,Null,FALSE,FALSE,[],"[""depending on the plan rate limiting applies""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact sales"", ""url"":""https://radiumblock.com/contact.html"", ""type"":""external""}]"
radiumblock-astar-enterprise,RadiumBlock,Enterprise,Full Archive,astar,$150/$400/$750+,$15/$8/$0 per 1M requests,100%,Null,Null,FALSE,FALSE,[],"[""depending on the plan rate limiting applies""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact sales"", ""url"":""https://radiumblock.com/contact.html"", ""type"":""external""}]"
radiumblock-shiden-dedicated,RadiumBlock,Dedicated,Full Archive,shiden,$375/$725/$990+,$0,100%,Null,Null,FALSE,FALSE,[],"[""depending on the plan rate limiting applies""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact sales"", ""url"":""https://radiumblock.com/contact.html"", ""type"":""external""}]"
radiumblock-shiden-enterprise,RadiumBlock,Enterprise,Full Archive,shiden,$150/$400/$750+,$15/$8/$0 per 1M requests,100%,Null,Null,FALSE,FALSE,[],"[""depending on the plan rate limiting applies""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact sales"", ""url"":""https://radiumblock.com/contact.html"", ""type"":""external""}]"
startale-astar-free,Startale,Free,Recent-State,astar,0,0,NULL,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""30 requests per second"", ""2 endpoints""]",[],"[""Success/Fail rate""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://startale.com/en/scs/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
startale-astar-pay-as-you-go,Startale,Pay-as-you-go,Full Archive,astar,$39/$169 with 400M/1.5B CU included,$1 per 1M CU,NULL,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"", ""debug"", ""trace"", ""user operations""]","[""300/500 requests per second"", ""5/30 endpoints""]","[""IP whitelistening"", ""Domain whitelistening""]","[""Success/Fail rate""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://startale.com/en/scs/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
startale-astar-enterprise,Startale,Enterprise,Full Archive,astar,Custom,,Custom,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"", ""debug"", ""trace"", ""user operations""]",[],"[""IP whitelistening"", ""Domain whitelistening""]","[""Success/Fail rate""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://startale.com/en/scs/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
startale-shiden-free,Startale,Free,Recent-State,shiden,0,0,NULL,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""30 requests per second"", ""2 endpoints""]",[],"[""Success/Fail rate""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://startale.com/en/scs/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
startale-shiden-pay-as-you-go,Startale,Pay-as-you-go,Full Archive,shiden,$39/$169 with 400M/1.5B CU included,,NULL,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"", ""debug"", ""trace"", ""user operations""]","[""300/500 requests per second"", ""5/30 endpoints""]","[""IP whitelistening"", ""Domain whitelistening""]","[""Success/Fail rate""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://startale.com/en/scs/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
startale-shiden-enterprise,Startale,Enterprise,Full Archive,shiden,Custom,,Custom,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"", ""debug"", ""trace"", ""user operations""]",[],"[""IP whitelistening"", ""Domain whitelistening""]","[""Success/Fail rate""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://startale.com/en/scs/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
thirdweb-astar-free,ThirdWeb,Free,Recent-State,astar,0,0,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100 requests per second"", ""1M requests""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://592.rpc.thirdweb.com"", ""type"":""external""}]"
thirdweb-shiden-free,ThirdWeb,Free,Recent-State,shiden,0,0,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100 requests per second"", ""1M requests""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://336.rpc.thirdweb.com"", ""type"":""external""}]"
thirdweb-astar-pay-as-you-go,ThirdWeb,Pay-as-you-go,Recent-State,astar,$5/$99,$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100/250 requests per second""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
thirdweb-shiden-pay-as-you-go,ThirdWeb,Pay-as-you-go,Recent-State,shiden,$5/$99,$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100/250 requests per second""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
thirdweb-astar-dedicated,ThirdWeb,Dedicated,Recent-State,astar,$499 + Node price (unknown),$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""1000 requests per second""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
thirdweb-shiden-dedicated,ThirdWeb,Dedicated,Recent-State,shiden,$499 + Node price (unknown),$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""1000 requests per second""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
thirdweb-astar-enterprise,ThirdWeb,Enterprise,Recent-State,astar,$1499+,$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
thirdweb-shiden-enterprise,ThirdWeb,Enterprise,Recent-State,shiden,$1499+,$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
