slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedUptimeBlocksAvg,actionButtons
blast-astar-enterprise-archive,Blast,Enterprise,Full Archive,astar,Custom,custom,custom,null,null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""substrate""]","[""Custom""]","[""Methods filtering"", ""IP filtering"", ""Domains filtering"",""Rate-limiting""]","[""API calls"", ""Calls per chain"", ""Calls per method""]",null,null,null,null,"[{""label"":""Buy"", ""url"":""https://blastapi.io/dashboard"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blastapi.io/"", ""type"":""external""}]"
astar-free,Astar,Free,Recent-State,astar,$0.00,$0.00,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]","[""limited when overused"", ""not for production""]",[],[],null,null,null,null,"[{""label"":""Send requests"",""url"": ""https://evm.astar.network"", ""type"": ""external""}]"
astar-shibuya-free,Astar,Free,Recent-State,shibuya,$0.00,$0.00,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""limited when overused"", ""not for production""]",[],[],null,null,null,null,"[{""label"":""Send requests"",""url"": ""https://evm.shibuya.astar.network/"", ""type"": ""external""}]"
astar-shiden-free,Astar,Free,Recent-State,shiden,$0.00,$0.00,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]","[""limited when overused"", ""not for production""]",[],[],null,null,null,null,"[{""label"":""Send requests"",""url"": ""https://evm.shiden.astar.network"", ""type"": ""external""}]"
chain-love-astar-free-archive,Chain.Love,Free,Full Archive,astar,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""100k requests per month""]","[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Website"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-astar-pay-as-you-go-archive,Chain.Love,Pay-As-You-Go,Full Archive,astar,$30,$2 per 1M requests,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-astar-dedicated-archive,Chain.Love,Dedicated,Full Archive,astar,$300,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-astar-dedicated,Chain.Love,Dedicated,Recent-State,astar,$200,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-shibuya-free-archive,Chain.Love,Free,Full Archive,shibuya,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""100k requests per month""]","[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Website"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
chain-love-shibuya-pay-as-you-go-archive,Chain.Love,Pay-As-You-Go,Full Archive,shibuya,$30,$2 per 1M requests,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting""]","[""per-method analytics"", ""requests amount monitoring API""]",US,null,null,null,"[{""label"":""Buy"",""url"": ""/rpc"", ""type"": ""internal""}, {""label"":""Docs"",""url"": ""https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/astar"", ""type"": ""external""}]"
