slug,provider,chain,dataSources,hasDashboard,availableApis,price,starred,actionButtons
messari-astar,!provider:messari,astar,,,,,,"[""[Get tokens](https://messari.io/project/astar-network/network-metrics)""]"
1rpc-mainnet,1rpc,mainnet,,FALSE,,,FALSE,
