slug,provider,chain,requiresLogin,hasCaptcha,price,starred,actionButtons,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes
astar-shibuya,!provider:astar-faucet,shibuya,,,,,"[""[Get tokens](https://portal.astar.network/shibuya-testnet/)""]",,10 SBY,,
chainlink-shibuya,!provider:chainlink-faucet,shibuya,,,,,"[""[Get tokens](https://faucets.chain.link/astar-shibuya)""]",,25 LINK,,
