slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/doge/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/doge/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/doge/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/doge/summary)""]",mainnet,,,,,,,,,
santiment-mainnet-business-max,,!offer:santiment-business-max,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-mainnet-business-pro,,!offer:santiment-business-pro,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-mainnet-free,,!offer:santiment-free,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,.
santiment-mainnet-sanbase-max,,!offer:santiment-sanbase-max,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-mainnet-sanbase-pro,,!offer:santiment-sanbase-pro,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
