slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
3xpl-mcp,,!offer:3xpl-mcp,"[""[Website](https://github.com/exekerey/3xpl-mcp)"",""[Docs](https://github.com/exekerey/3xpl-mcp#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-address-history,,!offer:cryptoapis-mcp-address-history,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-history)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-history#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-address-latest,,!offer:cryptoapis-mcp-address-latest,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-latest)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-latest#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-block-data,,!offer:cryptoapis-mcp-block-data,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-block-data)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-block-data#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-blockchain-fees,,!offer:cryptoapis-mcp-blockchain-fees,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-blockchain-fees)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-blockchain-fees#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-broadcast,,!offer:cryptoapis-mcp-broadcast,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-broadcast)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-broadcast#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-hd-wallet,,!offer:cryptoapis-mcp-hd-wallet,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hd-wallet)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hd-wallet#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-http-server,,!offer:cryptoapis-mcp-http-server,"[""[Website](https://cryptoapis.io/)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-hub,,!offer:cryptoapis-mcp-hub,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-signer,,!offer:cryptoapis-mcp-signer,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-signer)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-signer#readme)""]",,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-transactions-data,,!offer:cryptoapis-mcp-transactions-data,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-transactions-data)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-transactions-data#readme)""]",,,,,,,,,,,,,,,,,,,
