slug,provider,offer,actionButtons,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
circle-faucet-usdc,,!offer:circle-faucet-usdc,,,,,,,,1 USDC,,
stakely-faucet,,!offer:stakely-faucet,[[Faucet](https://stakely.io/faucet/aptos-apt)""],,,,,,,0.00088 APT,,
