slug,provider,offer,actionButtons,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
chainlink-mainnet,,!offer:chainlink,[[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/aptos-mainnet)""],,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,[[Docs](https://docs.chain.link/ccip/directory/testnet/chain/aptos-testnet)""],,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,[[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/aptos)""],,,,,,,,,,,,
pyth-testnet,,!offer:pyth,[[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/aptos)""],,,,,,,,,,,,
supra-mainnet,,!offer:supra,[[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle#aptos)""],,,,,,,,,,,,
supra-testnet,,!offer:supra,[[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle#aptos)""],,,,,,,,,,,,
