slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
pinata-fiesta,,!offer:pinata-fiesta,,,,,,,,
pinata-free,,!offer:pinata-free,,,,,,,,
pinata-picnic,,!offer:pinata-picnic,,,,,,,,
sync-enterprise,Sync,,"[""[Website](https://www.sync.com/pricing/)""]",Storage,"[""Unlimited Storage"",""Cloud Storage""]",Custom,Enterprise,,"It is a cloud storage built for privacy that keeps your files safe, secure, and 100% private with end-to-end encryption",FALSE
sync-personal-150gb,Sync,,"[""[Website](https://www.sync.com/pricing-individual/)""]",Storage,"[""Unlimited Storage"",""Cloud Storage""]","$4/mo (monthly plan), $3.5/mo (yearly plan)",Tiered,Personal 150GB,"It is a cloud storage built for privacy that keeps your files safe, secure, and 100% private with end-to-end encryption",FALSE
sync-personal-1tb,Sync,,"[""[Website](https://www.sync.com/pricing-individual/)""]",Storage,"[""Unlimited Storage"",""Cloud Storage""]","$8/mo (monthly plan), $4/mo (yearly plan)",Tiered,Personal 1TB,"It is a cloud storage built for privacy that keeps your files safe, secure, and 100% private with end-to-end encryption",FALSE
sync-pro-solo-5tb,Sync,,"[""[Website](https://www.sync.com/pricing-individual/)""]",Storage,"[""Unlimited Storage"",""Cloud Storage""]","$16/mo (monthly plan), $14/mo (yearly plan)",Tiered,Pro Solo 5TB,"It is a cloud storage built for privacy that keeps your files safe, secure, and 100% private with end-to-end encryption",FALSE
sync-pro-solo-5tb-1tb,Sync,,"[""[Website](https://www.sync.com/pricing/)""]",Storage,"[""Unlimited Storage"",""Cloud Storage""]",$28/mo,Tiered,Pro Solo 5TB 1TB,"It is a cloud storage built for privacy that keeps your files safe, secure, and 100% private with end-to-end encryption",FALSE
sync-pro-solo-unlimited,Sync,,"[""[Website](https://www.sync.com/pricing/)""]",Storage,"[""Unlimited Storage"",""Cloud Storage""]",$90/mo,Tiered,Pro Solo 5TB 1TB,"It is a cloud storage built for privacy that keeps your files safe, secure, and 100% private with end-to-end encryption",FALSE
sync-teams-standard,Sync,,"[""[Website](https://www.sync.com/pricing/)""]",Storage,"[""Unlimited Storage"",""Cloud Storage""]","$4/mo (monthly plan), $3/mo (yearly plan)",Tiered,Teams Standard,"It is a cloud storage built for privacy that keeps your files safe, secure, and 100% private with end-to-end encryption",FALSE
