slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,,mainnet,,,,,,,,,,,,
api3-testnet,,!offer:api3,,testnet,,,,,,,,,,,,
band-mainnet,,!offer:band,,mainnet,,,,,,,,,,,,
band-testnet,,!offer:band,,testnet,,,,,,,,,,,,
goracle-mainnet,,!offer:goracle,,mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,,mainnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,,testnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,,mainnet,,,,,,,,,,,,
supra-testnet,,!offer:supra,,testnet,,,,,,,,,,,,
switchboard-mainnet,,!offer:switchboard,,mainnet,,,,,,,,,,,,
switchboard-testnet,,!offer:switchboard,,testnet,,,,,,,,,,,,
tellor-mainnet,,!offer:tellor,,mainnet,,,,,,,,,,,,
