slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
santiment-enterprise,,!offer:santiment-enterprise,,,,,,,,,,,
santiment-free,,!offer:santiment-free,,,,,,,,,,,
santiment-sanbase-max,,!offer:santiment-sanbase-max,,,,,,,,,,,
santiment-sanbase-pro,,!offer:santiment-sanbase-pro,,,,,,,,,,,
sentry-aleno,,!offer:sentry-aleno,,,,,,,,,,,
starboard,,!offer:starboard,,,,,,,,,,,
tokenterminal,,!offer:tokenterminal,,,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/algorand)""]",mainnet,,,,,,,,,
vestige-mainnet,Vestige,,"[""[Dashboard](https://vestige.fi/asset/0)""]",mainnet,"[""Assets"",""Tokens"",""DEX Liquidity Pools"",""Historical Price & Volume""]",TRUE,,"[""DeFi Analytics API""]",$0,,Free,FALSE,
zapper,,!offer:zapper,,,,,,,,,,,
