slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/chainlink.jsonc)""]",mainnet,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/chainlink.jsonc)""]",testnet,,,,,,,,,,,,
chronicle-mainnet,,!offer:chronicle,"[""[Docs](https://chroniclelabs.org/dashboard/oracles?blockchain=MON-TESTNET)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/chronicle.jsonc)""]",mainnet,,,,,,,,,,,,
chronicle-testnet,,!offer:chronicle,"[""[Docs](https://chroniclelabs.org/dashboard/oracles?blockchain=MON-TESTNET)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/chronicle.jsonc)""]",testnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/pyth.jsonc)""]",mainnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/pyth.jsonc)""]",testnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Docs](https://docs.redstone.finance/)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/redstone.jsonc)""]",mainnet,,,,,,,,,,,,
redstone-testnet,,!offer:redstone,"[""[Docs](https://docs.redstone.finance/)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/redstone.jsonc)""]",testnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Docs](https://docs.supra.com/)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/supra_oracles.jsonc)""]",mainnet,,,,,,,,,,,,
supra-testnet,,!offer:supra,"[""[Docs](https://docs.supra.com/)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/supra_oracles.jsonc)""]",testnet,,,,,,,,,,,,
switchboard-mainnet,,!offer:switchboard,"[""[Docs](https://docs.switchboard.xyz/docs-by-chain/evm)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/switchboard.jsonc)""]",mainnet,,,,,,,,,,,,
switchboard-testnet,,!offer:switchboard,"[""[Docs](https://docs.switchboard.xyz/docs-by-chain/evm)"",""[Contracts](https://github.com/monad-crypto/protocols/blob/main/mainnet/switchboard.jsonc)""]",testnet,,,,,,,,,,,,
