slug,provider,offer,actionButtons,chain,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
alchemy-mcp-server,,!offer:alchemy-mcp-server,,mainnet,,,,,,,,,,,,,,,,,,,
blockscout-mcp,,!offer:blockscout-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
codex-docs-mcp,,!offer:codex-docs-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
codex-mcp,,!offer:codex-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
coinbase-agentkit-mcp,,!offer:coinbase-agentkit-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
debridge-mcp,,!offer:debridge-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
dexpaprika-mcp,,!offer:dexpaprika-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
etherscan-hosted-mcp,,!offer:etherscan-hosted-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
moralis-mcp-server,,!offer:moralis-mcp-server,,mainnet,,,,,,,,,,,,,,,,,,,
nansen-mcp,,!offer:nansen-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
wallet-agent,,!offer:wallet-agent,,mainnet,,,,,,,,,,,,,,,,,,,
