slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
ethers-js,,!offer:ethers-js,,,,,,,,,,,,,,,
foundry,,!offer:foundry,,,,,,,,,,,,,,,
hardhat,,!offer:hardhat,,,,,,,,,,,,,,,
huff,,!offer:huff,,,,,,,,,,,,,,,
huffmate,,!offer:huffmate,,,,,,,,,,,,,,,
open-zeppelin-test-helpers,,!offer:open-zeppelin-test-helpers,,,,,,,,,,,,,,,
openzeppelin,,!offer:openzeppelin,,,,,,,,,,,,,,,
quicknode-sdk-accelerate,,!offer:quicknode-sdk-accelerate,,,,,,,,,,,,,,,
quicknode-sdk-build,,!offer:quicknode-sdk-build,,,,,,,,,,,,,,,
quicknode-sdk-business,,!offer:quicknode-sdk-business,,,,,,,,,,,,,,,
quicknode-sdk-scale,,!offer:quicknode-sdk-scale,,,,,,,,,,,,,,,
turnkey-sdk-free,,!offer:turnkey-sdk-free,,,,,,,,,,,,,,,
turnkey-sdk-pro,,!offer:turnkey-sdk-pro,,,,,,,,,,,,,,,
vyper,,!offer:vyper,,,,,,,,,,,,,,,
web3-js,,!offer:web3-js,,,,,,,,,,,,,,,
web3-py,,!offer:web3-py,,,,,,,,,,,,,,,
