slug,provider,offer,actionButtons,chain,toolType,tag,price,planName,planType,description,starred
alchemy-bundler-free,,!offer:alchemy-bundler-free,,mainnet,,,,,,,
alchemy-bundler-pay-as-you-go,,!offer:alchemy-bundler-pay-as-you-go,,mainnet,,,,,,,
alchemy-gas-manager-free,,!offer:alchemy-gas-manager-free,,mainnet,,,,,,,
alchemy-gas-manager-pay-as-you-go,,!offer:alchemy-gas-manager-pay-as-you-go,,mainnet,,,,,,,
build-bear-developer,,!offer:build-bear-developer,,mainnet,,,,,,,
build-bear-explorer,,!offer:build-bear-explorer,,mainnet,,,,,,,
build-bear-team,,!offer:build-bear-team,,mainnet,,,,,,,
crossmint-free,,!offer:crossmint-free,,mainnet,,,,,,,
forge,,!offer:forge,,mainnet,,,,,,,
kevm,,!offer:kevm,,mainnet,,,,,,,
multicall3,,!offer:multicall3,,mainnet,,,,,,,
scaffold-eth,,!offer:scaffold-eth,,mainnet,,,,,,,
zero-dev-developer,,!offer:zero-dev-developer,,mainnet,,,,,,,
zero-dev-growth,,!offer:zero-dev-growth,,mainnet,,,,,,,
zero-dev-scale,,!offer:zero-dev-scale,,mainnet,,,,,,,
