slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
chainstack-faucet,,!offer:chainstack-faucet,"[""[Faucet](https://faucet.chainstack.com/hyperliquid-testnet-faucet)""]",testnet,,,,,,,,,
quicknode-faucet,,!offer:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/hyperliquid)""]",testnet,,,,,,,,,
