slug,provider,offer,actionButtons,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
coingecko-api-basic,,!offer:coingecko-api-basic,"[""[Dashboard](https://www.coingecko.com/en/chains/oasis-sapphire)""]",mainnet,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/oasis-sapphire)""]",mainnet,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/oasis-sapphire)""]",mainnet,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/oasis-sapphire)""]",mainnet,,,,,,,,
dexscreener-mainnet,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/oasissapphire)""]",mainnet,,,,,,,,
