slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
morph-hoodi-faucet,Morph,,"[""[Faucet](https://morph-rails-hoodi.morph.network/faucet)""]",hoodi,TRUE,FALSE,,$0,FALSE,"[""Official Morph Hoodi testnet faucet""]",0.1 ETH,24h,FALSE
morph-quicknode-faucet,,!offer:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/morph)""]",testnet,TRUE,FALSE,0.001 ETH,$0,FALSE,"[""Requires tweet about faucet; one drip per network per 12h""]",0.01 ETH,12h,FALSE
