slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
supra-mainnet,,!offer:supra,"[""[Networks](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",mainnet,cross-chain-oracle,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Bevm Guide](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/bevm)""]",mainnet,oracle,,,,,,,,,,,
