slug,provider,offer,actionButtons,chain,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
alchemy-mcp-server,,!offer:alchemy-mcp-server,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-rpc-nodes-mcp,,!offer:chainstack-rpc-nodes-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
codex-mcp,,!offer:codex-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
coinbase-agentkit-mcp,,!offer:coinbase-agentkit-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
debridge-mcp,,!offer:debridge-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
dexpaprika-mcp,,!offer:dexpaprika-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
etherscan-hosted-mcp,,!offer:etherscan-hosted-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
euler-vaults-mcp,,!offer:euler-vaults-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
nansen-mcp,,!offer:nansen-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-blockchain-mcp,,!offer:tatum-blockchain-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
token-minter-mcp,,!offer:token-minter-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
wallet-agent,,!offer:wallet-agent,,mainnet,,,,,,,,,,,,,,,,,,,
