slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred,storageTypes,trial,storageNetwork,accessInterface,retrievalClass,egressPrice,encryption
aleph-cloud-block-storage,,!offer:aleph-cloud-block-storage,,,,,,,,,,FALSE,,,,,
aleph-cloud-gpu-cloud,,!offer:aleph-cloud-gpu-cloud,,,,,,,,,,FALSE,,,,,
aleph-cloud-vps,,!offer:aleph-cloud-vps,,,,,,,,,,FALSE,,,,,
pinata-fiesta,,!offer:pinata-fiesta,,,,,,,,,,FALSE,,,,,
pinata-free,,!offer:pinata-free,,,,,,,,,,FALSE,,,,,
pinata-picnic,,!offer:pinata-picnic,,,,,,,,,,FALSE,,,,,
zeeve-build,,!offer:zeeve-build,,,,,,,,,,FALSE,,,,,
zeeve-free,,!offer:zeeve-free,,,,,,,,,,FALSE,,,,,
zeeve-growth,,!offer:zeeve-growth,,,,,,,,,,FALSE,,,,,
zeeve-launch,,!offer:zeeve-launch,,,,,,,,,,FALSE,,,,,
