slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
chainlink-faucet-link,,!offer:chainlink-faucet-link,"[""[Faucet](https://faucets.chain.link/)""]",testnet,,,,,,,,,
circle-faucet-usdc,,!offer:circle-faucet-usdc,"[""[Faucet](https://faucet.circle.com/)""]",testnet,,,,,,,1 USDC,2h,
stakely-faucet,,!offer:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/sonic-s)""]",mainnet,,,,,,,0.01 S,,
