slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
alchemy-bundler-free,,!offer:alchemy-bundler-free,"[""[Website](https://github.com/alchemyplatform/rundler)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",,,,,,,
alchemy-bundler-pay-as-you-go,,!offer:alchemy-bundler-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",,,,,,,
alchemy-gas-manager-free,,!offer:alchemy-gas-manager-free,"[""[Website](https://www.alchemy.com/dapps/gas-manager)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",,,,,,,
alchemy-gas-manager-pay-as-you-go,,!offer:alchemy-gas-manager-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",,,,,,,
alchemy-smart-wallet-free,,!offer:alchemy-smart-wallet-free,"[""[Website](https://www.alchemy.com/smart-wallets-infrastructure)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",,,,,,,
alchemy-smart-wallet-pay-as-you-go,,!offer:alchemy-smart-wallet-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",,,,,,,
alchemy-transaction-free,,!offer:alchemy-transaction-free,"[""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",,,,,,,
alchemy-transaction-pay-as-you-go,,!offer:alchemy-transaction-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",,,,,,,
chainlink-ccip-mainnet,,!offer:chainlink-ccip,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/sonic-mainnet)""]",,,,,,,
forge,,!offer:forge,"[""[Website](https://getfoundry.sh/forge/overview/)""]",,,,,,,
paintswap-vrf,Paintswap,,"[""[Website](https://vrf.paintswap.io/)"",""[Docs](https://vrf.paintswap.io/documentation)""]",Tool,"[""VRF"",""Randomness"",""Oracle"",""Infrastructure"",""Sonic""]",Gas only,,Free,"A fast, scalable VRF providing fully verifiable on-chain randomness from request to fulfillment, without any additional fees.",FALSE
remix,,!offer:remix,"[""[Docs](https://remix-ide.readthedocs.io/)""]",,,,,,,
