slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
mt-pelerin,,!offer:mt-pelerin,"[""[Buy](https://www.mtpelerin.com/buy-axelar)""]",,,,,,,
transak,,!offer:transak,"[""[Buy](https://transak.com/buy/axelar)""]",,,,,,,
