slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
chainlink-blast-faucet,,!offer:chainlink-faucet,"[""[Faucet](https://faucets.chain.link/blast-sepolia)""]",testnet,,,,,,,,,
getblock-blast-faucet,,!offer:getblock-faucet,"[""[Faucet](https://getblock.io/faucet/blast-sepolia/)""]",testnet,,,,,,,,,
quicknode-blast-faucet,,!offer:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/blast/sepolia)""]",testnet,,,,,,,,,
