slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred
sonicscan-mainnet,Sonic,"[""[Explore](https://sonicscan.org/)""]",mainnet,Custom,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks"",""Contracts""]","[""Smart Contract Code Reader"",""API Services"",""Transaction Validation"",""Token and Address Lookup"",""No Wallet Services""]","[""REST API""]","[""JavaScript"",""Python"",""TypeScript"",""Solidity""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Domain Name""]",TRUE,TRUE,Free,FALSE
sonicscan-testnet,Sonic,"[""[Explore](https://testnet.sonicscan.org/)""]",mainnet,Custom,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks"",""Contracts""]","[""Smart Contract Code Reader"",""API Services"",""Transaction Validation"",""Token and Address Lookup"",""No Wallet Services""]","[""REST API""]","[""JavaScript"",""Python"",""TypeScript"",""Solidity""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Domain Name""]",TRUE,TRUE,Free,FALSE
