slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham-mainnet,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/fantom)""]",mainnet,,,[],,,,FALSE
cryptoquant-mainnet,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/s/summary)""]",mainnet,,,[],,,,FALSE
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/sonic)""]",mainnet,,,[],,,,FALSE
dexscreener-mainnet,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/sonic)""]",mainnet,,,[],,,,FALSE
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/blockchains/sonic)""]",mainnet,,,[],,,,FALSE
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/sonic-labs)""]",mainnet,,,[],,,,FALSE
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=sonic)""]",mainnet,,,[],,,,FALSE
tokenterminal-mainnet,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/sonic)""]",mainnet,,,[],,,,FALSE
