slug,provider,actionButtons,chain,txSpeedSla,throughputSla,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
allbridge-core,!provider:allbridge-core,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
crosscurve,!provider:crosscurve,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
debridge,!provider:debridge,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
hyperlane,!provider:hyperlane,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
interport,!provider:interport,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
jumper,!provider:jumper,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
layerswap,!provider:layerswap,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
meson,!provider:meson,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
okutrade,!provider:okutrade,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
orbiter,!provider:orbiter,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
rhinofi,!provider:rhinofi,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
squid,!provider:squid,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
stargate,!provider:stargate,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
symbiosis,!provider:symbiosis,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
transporter,!provider:transporter,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
wanchain,!provider:wanchain,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
