slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,tag
lambdaclass-mina-bridge-mainnet,,!offer:lambdaclass-mina-bridge,"[""[Mina project](https://minaprotocol.com/ecosystem-project/lambdaclass-bridge)""]",mainnet,,,,,,,,,,,,,,,,,,
nil-foundation-mina-bridge-mainnet,,!offer:nil-foundation-mina-bridge,"[""[Mina project](https://minaprotocol.com/ecosystem-project/nil-foundation-bridge)""]",mainnet,,,,,,,,,,,,,,,,,,
