slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred,tag
minascan-devnet,,!offer:minascan,"[""[Explore](https://minascan.io/devnet/home)""]",devnet,,,,,,,,,,,
minascan-mainnet,,!offer:minascan,"[""[Explore](https://minascan.io/mainnet/home)""]",mainnet,,,,,,,,,,,
minataur-mainnet,,!offer:minataur,"[""[Explore](https://minataur.net/)""]",mainnet,,,,,,,,,,,
