slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred,storageTypes,trial,storageNetwork,accessInterface,retrievalClass,egressPrice,encryption
lighthouse-free,,!offer:lighthouse-free,,,,,,,,,,FALSE,,,,,
lighthouse-lite,,!offer:lighthouse-lite,,,,,,,,,,FALSE,,,,,
lighthouse-premium,,!offer:lighthouse-premium,,,,,,,,,,FALSE,,,,,
storacha-extra-spicy,,!offer:storacha-extra-spicy,,,,,,,,,,FALSE,,,,,
storacha-medium,,!offer:storacha-medium,,,,,,,,,,FALSE,,,,,
storacha-mild,,!offer:storacha-mild,,,,,,,,,,FALSE,,,,,
zeeve-build,,!offer:zeeve-build,,,,,,,,,,FALSE,,,,,
zeeve-free,,!offer:zeeve-free,,,,,,,,,,FALSE,,,,,
zeeve-growth,,!offer:zeeve-growth,,,,,,,,,,FALSE,,,,,
zeeve-launch,,!offer:zeeve-launch,,,,,,,,,,FALSE,,,,,
