slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historyDepth,availableApis,price,planName,planType,starred,tag
dune-mainnet-free,,!offer:dune-free,,mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,,mainnet,,,,,,,,,
