slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractVerification,fullHistory,pricing,tag,networkSupportBasis
plasmascan-mainnet,,!offer:etherscan,"[""[Explore](https://plasmascan.to/)""]",mainnet,,,,,,,,,,,,
plasmascan-testnet,,!offer:etherscan,"[""[Explore](https://testnet.plasmascan.to/)""]",testnet,,,,,,,,,,,,
