slug,provider,offer,actionButtons,chain,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
blockdaemon-sdk-free,,!offer:blockdaemon-sdk-free,"[""[Docs](https://www.blockdaemon.com/protocols/bitcoin)""]",mainnet,,,,,,,,,,,,,,
blockdaemon-sdk-growth,,!offer:blockdaemon-sdk-growth,"[""[Docs](https://www.blockdaemon.com/protocols/bitcoin)""]",mainnet,,,,,,,,,,,,,,
blockdaemon-sdk-starter,,!offer:blockdaemon-sdk-starter,"[""[Docs](https://www.blockdaemon.com/protocols/bitcoin)""]",mainnet,,,,,,,,,,,,,,
chainbase-sdk-developer,,!offer:chainbase-sdk-developer,,mainnet,,,,,,,,,,,,,,
chainbase-sdk-free,,!offer:chainbase-sdk-free,,mainnet,,,,,,,,,,,,,,
one-key-sdk,,!offer:one-key-sdk,,mainnet,,,,,,,,,,,,,,
phantom-sdk,,!offer:phantom-sdk,,mainnet,,,,,,,,,,,,,,
swap-kit,,!offer:swap-kit,,mainnet,,,,,,,,,,,,,,
tatum-sdk-free,,!offer:tatum-sdk-free,"[""[Docs](https://docs.tatum.io/docs/bitcoin-getting-started-sdk)""]",mainnet,,,,,,,,,,,,,,
tatum-sdk-pro,,!offer:tatum-sdk-pro,"[""[Docs](https://docs.tatum.io/docs/bitcoin-getting-started-sdk)""]",mainnet,,,,,,,,,,,,,,
tatum-sdk-scale,,!offer:tatum-sdk-scale,"[""[Docs](https://docs.tatum.io/docs/bitcoin-getting-started-sdk)""]",mainnet,,,,,,,,,,,,,,
tatum-sdk-starter,,!offer:tatum-sdk-starter,"[""[Docs](https://docs.tatum.io/docs/bitcoin-getting-started-sdk)""]",mainnet,,,,,,,,,,,,,,
