slug,provider,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,x402,onChainWrite,agentSkills,tag,description,planType,price,trial,starred,offer,planName
yan-mainnet-boba,,,,,,,,FALSE,FALSE,,,,mainnet type,,FALSE,,!offer:yan,
yan-testnet-biba,,,,,,,,,,,,,,,,,!offer:yan,
