slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
blockscout-mainnet,!provider:blockscout,"[""[Explorer](https://polygon.blockscout.com/)""]",mainnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free
oklink-mainnet,!provider:oklink,"[""[Explorer](https://www.oklink.com/polygon)""]",mainnet,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Accounts"",""Token transfers"",""Address Activity""]","[""Token Tracker"",""Smart Contract Verification"",""Address Labels"",""Address Monitoring"",""APIs"",""Network Overview"",""Price Charts"",""Amoy Contract Verification""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
okxexplorer-mainnet,!provider:okx,"[""[Explorer](https://web3.okx.com/explorer/polygon)""]",mainnet,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Smart Contract Verification"",""Label System""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
polygonscan-amoy,Polygonscan,"[""[Explorer](https://amoy.polygonscan.com/)""]",amoy,Etherscan,"[""Transactions"",""Token transfers"",""Blocks"",""Addresses""]","[""Verified Contracts"",""API access""]",TRUE,"[""REST API""]",,"[""Search"",""Filter""]",TRUE,TRUE,Free
polygonscan-mainnet,Polygonscan,"[""[Explorer](https://polygonscan.com/)""]",mainnet,Etherscan,"[""Transactions"",""Token transfers"",""Blocks"",""Addresses""]","[""Verified Contracts"",""API access""]",TRUE,"[""REST API""]",,"[""Search"",""Filter"",""Labels""]",TRUE,TRUE,Free
