slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,uptimeSla,bandwidthSla,blocksBehindSla,supportSla
subquery-polygon-free,SubQuery,mainnet,null,Decentralized Data Indexing,Free,FALSE,0,0,FALSE,"[""GraphQL"",""SQL""]","[""Rate limits apply""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Discord support""]",null,null,null,"[""[Buy](https://subquery.network/indexer)"", ""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polygon.html)""]",NULL,NULL,NULL,NULL
subquery-polygon-pay-as-you-go,SubQuery,mainnet,null,Decentralized Data Indexing,Pay-as-you-go,FALSE,Unknown,Unknown,FALSE,"[""GraphQL"",""SQL""]","[""Rate limits may apply""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Hard SLA with compensations""]",null,null,null,"[""[Buy](https://subquery.network/indexer)"", ""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polygon.html)""]",NULL,NULL,NULL,NULL
subquery-polygon-enterprise,SubQuery,mainnet,null,Decentralized Data Indexing,Enterprise,FALSE,Unknown,Unknown,FALSE,"[""GraphQL"",""SQL""]",[],"[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Hard SLA with compensations""]",null,null,null,"[""[Buy](https://subquery.network/indexer)"", ""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polygon.html)""]",NULL,NULL,NULL,NULL
subquery-polygon-amoy-free,SubQuery,amoy,null,Decentralized Data Indexing,Free,FALSE,0,0,FALSE,"[""GraphQL"",""SQL""]","[""Rate limits apply""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Discord support""]",null,null,null,"[""[Buy](https://subquery.network/indexer/polygon-amoy-testnet)"", ""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polygon.html)""]",NULL,NULL,NULL,NULL
subquery-polygon-amoy-pay-as-you-go,SubQuery,amoy,null,Decentralized Data Indexing,Pay-as-you-go,FALSE,Unknown,Unknown,FALSE,"[""GraphQL"",""SQL""]","[""Rate limits may apply""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Hard SLA with compensations""]",null,null,null,"[""[Buy](https://subquery.network/indexer/polygon-amoy-testnet)"", ""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polygon.html)""]",NULL,NULL,NULL,NULL
subquery-polygon-amoy-enterprise,SubQuery,amoy,null,Decentralized Data Indexing,Enterprise,FALSE,Unknown,Unknown,FALSE,"[""GraphQL"",""SQL""]",[],"[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]","[""ETL query stack"",""Decentralized indexing"",""Hard SLA with compensations""]",null,null,null,"[""[Buy](https://subquery.network/indexer/polygon-amoy-testnet)"", ""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polygon.html)""]",NULL,NULL,NULL,NULL
ormi-polygon-free,Ormi Labs,mainnet,null,Subgraph Indexing,Free,FALSE,0,0,FALSE,"[""GraphQL"",""REST API""]","[""TPS: 20 requests / 10 seconds"", ""100,000 entities included""]","[""Encryption and monitoring""]","[""Real-time analytics""]","[""Global""]","[""Email support""]",null,null,null,"[""[Buy](https://ormilabs.com/)"", ""[Docs](https://docs.ormilabs.com/overview/introduction)""]",NULL,NULL,NULL,NULL
ormi-polygon-pay-as-you-go,Ormi Labs,mainnet,null,Subgraph Indexing,Pay-as-you-go,FALSE,"$4.00 per 100,000 entities stored",0,FALSE,"[""GraphQL"",""REST API""]","[""TPS: 50 requests / 10 seconds""]","[""Encryption and monitoring""]","[""Real-time analytics""]","[""Global""]","[""Premium support via Email, Slack, and Telegram""]",null,null,null,"[""[Buy](https://ormilabs.com/)"", ""[Docs](https://docs.ormilabs.com/overview/introduction)""]",NULL,NULL,NULL,NULL
ormi-polygon-enterprise,Ormi Labs,mainnet,null,Subgraph Indexing,Enterprise,FALSE,"$1.00 per 100,000 entities stored",0,FALSE,"[""GraphQL"",""REST API""]","[""Custom""]","[""Encryption and monitoring""]","[""Real-time analytics""]","[""Global""]","[""Uptime and latency SLA"", ""Optional dedicated environment""]",null,null,null,"[""[Buy](https://ormilabs.com/)"", ""[Docs](https://docs.ormilabs.com/overview/introduction)""]",NULL,NULL,NULL,NULL
ormi-polygon-amoy-free,Ormi Labs,amoy,null,Subgraph Indexing,Free,FALSE,0,0,FALSE,"[""GraphQL"",""REST API""]","[""TPS: 20 requests / 10 seconds"", ""100,000 entities included""]","[""Encryption and monitoring""]","[""Real-time analytics""]","[""Global""]","[""Email support""]",null,null,null,"[""[Buy](https://ormilabs.com/)"", ""[Docs](https://docs.ormilabs.com/overview/introduction)""]",NULL,NULL,NULL,NULL
ormi-polygon-amoy-pay-as-you-go,Ormi Labs,amoy,null,Subgraph Indexing,Pay-as-you-go,FALSE,"$4.00 per 100,000 entities stored",0,FALSE,"[""GraphQL"",""REST API""]","[""TPS: 50 requests / 10 seconds""]","[""Encryption and monitoring""]","[""Real-time analytics""]","[""Global""]","[""Premium support via Email, Slack, and Telegram""]",null,null,null,"[""[Buy](https://ormilabs.com/)"", ""[Docs](https://docs.ormilabs.com/overview/introduction)""]",NULL,NULL,NULL,NULL
