slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham-polygon,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/polygon)""]",mainnet,"[""Transactions"",""Active Users"",""Contracts"",""DApp Interactions""]",TRUE,"[""REST API"",""WebSocket API"",""Arkham Exchange API""]",Custom,,Enterprise,FALSE
dexscreener-polygon,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/polygon)""]",mainnet,"[""DEX Trading Pairs"",""Token Prices"",""Volume"",""Liquidity"",""Swaps""]",TRUE,"[""REST API""]",$0,,Free,FALSE
dune-polygon,!provider:dune,"[""[Dashboard](https://dune.com/blockchains/polygon)""]",mainnet,"[""Transactions"",""Gas Usage"",""Bridge Activity"",""Active Users"",""Token Transfers"",""Smart Contract Activity""]",TRUE,"[""SQL Queries"",""Visualizations""]","$0/$75/$399/mo (monthly plan), $0/$65/$349/mo (yearly plan)",,Tiered,FALSE
messari-polygon,!provider:messari,"[""[Dashboard](https://messari.io/project/polygon-ecosystem-token)""]",mainnet,"[""Network Metrics"",""TVL & Market Data"",""On‑chain Usage Metrics""]",TRUE,"[""Research Reports"",""API Access"",""Dashboard""]",$0/$4000/year,,Tiered,FALSE
nansen-polygon,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=polygon)""]",mainnet,"[""Exchange Flows"",""Token Distribution"",""DeFi Activity"",""NFT Analytics"",""Wallet Labels""]",TRUE,"[""Smart Money API"",""Profiler API"",""API Keys""]","$0/$69/mo (monthly plan), $0/$49/mo (yearly plan)",,Tiered,FALSE
