slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
tron-nile-faucet-testnet,,!offer:tron-nile-faucet,"[""[Faucet](https://nileex.io/join/getJoinPage)"",""[Docs](https://developers.tron.network/docs/getting-testnet-tokens-on-tron)""]",testnet,,,,,,,,,
tron-shasta-faucet-testnet,,!offer:tron-shasta-faucet,"[""[Faucet](https://shasta.tronex.io/join/getJoinPage)"",""[Docs](https://developers.tron.network/docs/getting-testnet-tokens-on-tron)""]",testnet,,,,,,,,,
