slug,provider,chain,requiresLogin,hasCaptcha,price,starred,actionButtons,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes
beryx-faucet,Beryx,calibnet,FALSE,FALSE,0,FALSE,"[""[Get tokens](https://beryx.io/faucet)""]",,,,
chainsafe-faucet,ChainSafe,calibnet,FALSE,FALSE,0,FALSE,"[""[Get tokens](https://faucet.calibnet.chainsafe-fil.io/funds.html)""]",,,,
