name,provider,network,type,is_token_bridge,is_message_passing,api_types,explorer,description,supported_assets,fee_model,gas_token,fee_type,audited,is_secure,security_details,audit_url,architecture,languages,references,communities,supported_chains
axelar-mainnet,!provider:axelar,mainnet,General Message Passing,True,True,"[""REST"",""GraphQL""]",Yes (Axelarscan),Token bridge + message passing,"[""wFIL"",""wETH"",""wBTC"",""USDC"",""USDT""]",null,null,Gas fee,True,Proof-of-stake permissionless validator set controls Axelar security protocols.,https://github.com/axelarnetwork/audits,Decentralized,"[""JavaScript""]",[Axelar Bridge](https://app.squidrouter.com/?chains=314); [Filecoin Cross-Chain Docs](https://docs.filecoin.io/smart-contracts/advanced/cross-chain-bridges); [Axelar x Filecoin DataDAO Blog](https://www.axelar.network/blog/filecoin-cross-chain-datadaos-axelar-and-fvm); [Axelar Ecosystem](https://www.axelar.network/ecosystem); [Axelar Network Fees (Edge)](https://support.edge.app/hc/en-us/articles/36422794159387-Axelar-AXL-Network-Fees),"[""Discord"",""Telegram"",""X""]","Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Cosmos, Base, Optimism, Scroll, Fantom",
celer-mainnet,!provider:celer,mainnet,Lock & Mint + Message Passing,True,True,"[""REST"",""SDK"",""WebSocket""]",Yes (CelerScan),Asset & message bridge,"[""wFIL"",""wETH"",""wBTC"",""USDC"",""USDT""]",null,null,Gas fee,True,Optimistic-rollup + two-phase commit confirm pattern for cross-chain messages.,https://blog.celer.network/2023/03/20/celer-cbridge-and-im-support-launched-on-the-filecoin-virtual-machine-fvm,Decentralized,"[""JavaScript""]",[Celer cBridge App](https://cbridge.celer.network/314/1/USDC); [Celer Blog: Filecoin IM Support](https://blog.celer.network/2023/03/20/celer-cbridge-and-im-support-launched-on-the-filecoin-virtual-machine-fvm); [Celer Bridge Security Overview](https://cbridge-docs.celer.network/introduction/cbridge-security); [Celer Network Homepage](https://celer.network/); [Celer Bridge FAQ](https://cbridge-docs.celer.network/reference/faq),"[""Discord"",""Telegram"",""X"",""Github"",""Mail""]","Ethereum, BNB Chain, Avalanche, Polygon, Arbitrum, Optimism, Fantom",
chainsafe-filecoin-bridge,!provider:chainsafe systems,testnet,Substrate-Based Bridge,True,True,"[""REST"",""SDK""]",Partial – dev dashboards,Filecoin ↔ Substrate chains (experimental),"[""FIL"",""wFIL""]",null,null,Gas fee,True,Open-source bridge/relayer framework built by ChainSafe; auditing for full Filecoin bridge not publicly final.,,Semi-decentralized,"[""Rust"",""JavaScript""]",[GitHub - ChainSafe FilecoinDot](https://github.com/ChainSafe/filecoindot)- [GitHub - ChainSafe FilecoinDot](https://github.com/ChainSafe/filecoindot) [About ChainSafe](https://chainsafe.io/about-us) [FRC-0104: Filecoin Common Node API](https://blog.chainsafe.io/frc-0104-filecoin-common-node-api/) [ChainSafe Launches Forest — The Rust Filecoin Client](https://blog.chainsafe.io/chainsafe-launches-forest-the-rust-filecoin-client/) [Forest Documentation](https://docs.forest.chainsafe.io/) [Bridges in Crypto Space](https://blog.chainsafe.io/bridges-in-crypto-space/) [Transaction Fee Mechanism Design](https://blog.chainsafe.io/transaction-fee-mechanism-design/),"[""Discord"",""Telegram""]","Polkadot Substrate-based chains, potentially Filecoin",
glif-bridge,!provier:glif,testnet,Lock & Mint,True,False,"[""REST"",""JSON-RPC"",""SDK""]",Yes (Public Node Stats),Bridged FIL assets + staking/liquid-staking integration,"[""FIL"",""iFIL"",""wFIL""]",null,null,Gas fee,True,"Glif Pools audited for leasing protocol, but bridging extension still developing.",https://diligence.consensys.io/audits/2023/04/glif-filecoin-infinitypool/glif-audit-2023-04.pdf,Semi-decentralized,"[""JavaScript"",""TypeScript""]",[Glif](https://glif.io) [Glif Doc](https://docs.glif.io/#what-is- glif) [Glif API Docs](https://docs.filecoin.io/reference/lotus-api/) [Public RPC](https://api.node.glif.io) [GitHub Modules](https://github.com/glifio/modules),"[""Discord"",""Telegram""]",Filecoin,

